OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
19004,Skladan Architecture LTD,Architect,1D186F8B3F6F41FE9AA7B32FE29E4ED9,Salikan Architecture Inc.,0.85
24618,SMK Architect,Architect,799e53c8337744b68e2f9764a008d45c,SK Architect Inc.,0.923
15645,SONGER architecture inc,Architect,77145fdc1eaf468b8ef60e323c5d9a3f,Longpre Architecture,0.85
21441,SRA Architects,Architect,CL00495,NSDA Architects,0.867
69345,Stand Architecture Inc.,Architect,64eb09fe28d34bcb9ca6ee5e9e9d972d,Stark Architecture,0.889
75690,START Architecture,Architect,64eb09fe28d34bcb9ca6ee5e9e9d972d,Stark Architecture,0.944
16018,START Architecture Inc,Architect,64eb09fe28d34bcb9ca6ee5e9e9d972d,Stark Architecture,0.944
76070,Strand Developments,Buyer,8A3163E56785407088F1CC8AD321870A,Strand Development Corp.,0.947
73773,Sturgess Architecture,Architect,92460f70e8e24524b33bafb54b570e39,Burgers Architecture Inc.,0.857
37676,Taylor Krutz Architecture + Design Inc.,Architect,CL00400,Taylor Kurtz Architecture + Design Inc.,0.938
75570,The Miller Hull Partnership,Architect,D2E45DA750954198AEA48FC25A40818E,Miller Hull Partnership,0.852
76334,"The Miller Hull Partnership, LLP",Architect,D2E45DA750954198AEA48FC25A40818E,Miller Hull Partnership,0.852
75795,Thinkspace Architecture Planning Interior Design,Architect,CL00404,Thinkspace Architecture Planning Interior,0.854
70024,TKA+D Architecture and Design Inc.,Architect,9D935154A8CD458FAE085B74C2636CF2,TKA+D Architecture + Design Inc.,0.857
76406,Trammel Crow Residential,Buyer,43E08C863F394AC9ABE4B911F5A38679,Trammell Crow  Residential,0.96
22253,Turner Architecture,Architect,92460f70e8e24524b33bafb54b570e39,Burgers Architecture Inc.,0.85
68886,TVA Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.857
70707,Unison Architecture,Architect,700feabcb69e4fc993359c2ea438749b,"Union Architecture, Inc.",0.947
18390,WF Architecture Inc,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.933
73718,Works Progress Architecture,Architect,2A0E5F9B7BB74772B2690190AA999F36,Works Progress Architecture (WPA),0.871
70616,WPT Architecture,Architect,9d8126b4629d4961bba46714df2a0bf7,W G Architecture Inc,0.875
76699,WT Leung Architects Inc.,Architect,5F8453FBA86C4E52A98CB659CF39F85C,W. T. Leung Architects Inc.,0.95
27930,X Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.867
28876,ZAS Architects,Architect,CL00512,WA Architects,0.857
