category,job,kind,file
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.03 Main Floor Plan - A-1.03.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.04 Low Roof Plan - A-1.04.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.04 Low Roof Plan-A-1.04.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.05 Upper Roof Plan - A-1.05.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-2.01 Lower Floor Ceiling Plan - A-2.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-2.02 Main Floor Ceiling Plan - A-2.02.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-2.03 High Ceiling Plan - A-2.03.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-3.00 Exterior Elevations - A-3.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-3.00 Exterior Elevations - A-3.02.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-3.00 Exterior Elevations - A-3.03.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-4.01 Sections - A-4.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-4.01 Sections - A-4.02.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-4.01 Sections - A-4.03.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-4.01 Sections - A-4.04.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-4.01 Sections - A-4.05.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-4.01 Sections-A-4.05.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-5.01 Feature Stairwell Plans Sections and Details - A-5.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-5.01 Feature Stairwell Plans Sections and Details - A-5.02.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-6.01 Wall Sections - A-6.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-8.00 Door Schedule - A-8.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-8.04 Window Schedule - A-8.03.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-8.04 Window Schedule - A-8.04.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-9.00 Partition Schedule - A-9.01.pdf"
