job,before_sqft,after_sqft,hers_sqft,moved_sqft,share_now,thickness_agree_before,thickness_agree_after,thickness_storeys,openings_we_have_before,openings_we_have_after,openings_hers,lost
31226-01,,,,,,,,,,,,
31229-01,,,,,,,,,,,,
31230-01,,,,,,,,,,,,
31233-01,,,,,,,,,,,,
31234-01,,,,,,,,,,,,
31237-01,,,,,,,,,,,,
40102-01,,,,,,,,,,,,
40106-01,,,,,,,,,,,,
40107-01,,,,,,,,,,,,
40107-02,,,,,,,,,,,,
40108-04,,,,,,,,,,,,
40109-01,,,,,,,,,,,,
40112-01,,0,0,,,,0,0,,0,0,
40112-03,,,,,,,,,,,,
40116-01,,,,,,,,,,,,
40117-01,,,,,,,,,,,,
50026-01,,,,,,,,,,,,
50046-01,,,,,,,,,,,,
50046-07,,,,,,,,,,,,
60058-01,,,,,,,,,,,,
60059-01,,,,,,,,,,,,
60061-01,,,,,,,,,,,,
60061-03,,75500.92,113893.22,,0.66,,10,11,,31,259,
60062-01,,,,,,,,,,,,
60065-01,,,,,,,,,,,,
60067-01,,,,,,,,,,,,
70058-01,,,,,,,,,,,,
70059-01,,,,,,,,,,,,
70060-01,,0,0,,,,0,0,,0,0,
70061-01,,131201.61,218253.72,,0.6,,1,3,,0,8,
70062-01,,,,,,,,,,,,
70063-01,,4509.36,6702.8,,0.67,,1,2,,1,1,
70064-01,,8138.75,8720.79,,0.93,,1,2,,2,2,
70065-01,,0,0,,,,0,0,,0,0,
80045-04,,,,,,,,,,,,
80062-01,,,,,,,,,,,,
80063-01,,,,,,,,,,,,
80064-01,,0,0,,,,0,0,,0,0,
80065-01,,,,,,,,,,,,
80066-01,,,,,,,,,,,,
90097-01,,,,,,,,,,,,
90101-01,,,,,,,,,,,,
90102-01,,,,,,,,,,,,
90105-01,,,,,,,,,,,,
