run_id,run_at_utc,tool_built_at_utc,job,category,set_kind,pdf,issue_date,issue_date_from_name,bytes,pages,plan_sheets,sheets_written,sheets_failed,sheets_not_plan,assembly_cards,storeys_read,has_model,model_error,sheets_placed,storeys_built,walls,columns,floors,storeys_with_plate,seconds,error,yardstick,yardstick_storeys,shared_storeys,frame_from_grids,frame_support,ours_compared,ours_median_mm,ours_within_100,theirs_compared,theirs_within_100,yardstick_note,yardstick_edb,yardstick_written,yardstick_age_days
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30932-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30932-01 (1650 E. 12th at Commercial)\05 Stickfile\30932-01 2025-11-19 1650 12th & Commercial Stickfile.pdf","2025-11-19","True","13267516","34","14","17","0","20","0","0","True",,"12","10","809","133","8","8","91.508772",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30933-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30933-01 (River District Parcel 11)\05 Stickfile\30933-01 - 2024-07-18 - Parcel 11 - Stickfile.pdf","2024-07-18","True","12888751","45","19","21","0","26","0","18","True",,"19","18","0","1210","23","17","63.1532914",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\30933-01.e2k","4","4","False","287","421","16.659687090120467","287","327","286","frame from column registration, no shared grid labels (0 X / 0 Y): 287 of 424 of our columns within 100 mm of one of theirs after it; 3 of our columns stand beyond her model's footprint on their storey (more than 1.5 m past her outermost column) and are not judged: L1 3","\\Kor-fs01\Projects\Projects\03 Residential\30933-01 (River District Parcel 11)\02 Engineering\02 Lateral Design\01 Etabs Models\SG\30933-EQ BOX Model_All Buildings-SG_Static Model_Sub (Diaphragm Design).EDB","2021-11-30","961"
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30934-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30934-01 (200 W. Esplanade)\05 Stickfile\30934-01 2023-01-12 65 Chesterfield Stickfile.pdf","2023-01-12","True","4756616","31","3","4","0","28","0","0","True",,"2","1","28","0","1","1","13.9105327",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30937-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30937-01 (937 View Street Victoria)\05 Stickfile\30937-01 2020-06-19 View St Stickfile.pdf","2020-06-19","True","5532583","18","10","10","0","8","0","0","True",,"0","7","53","110","7","7","9.8292679",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30940-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30940-01 (800 Broadway, San Diego, CA)\05 Stickfile\30940-01 2023-11-14 800 Broadway Stickfile.pdf","2023-11-14","True","34040406","99","65","65","0","34","0","0","True",,"14","1","43","9","1","1","67.1216994",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30941-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30941-01 (Milano 499 West Ash St San Diego)\05 Stickfile\30941-01 2024-02-05 Lindley w SSI #21 Stickfile.pdf","2024-02-05","True","33133635","123","85","138","0","38","0","33","True",,"12","34","950","223","6","5","133.5243176",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30942-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30942-01 (Central Park Village Phase 3)\05 Stickfile\30942-01 2021-01-20 Central Park Phase 3 Stickfile.pdf","2021-01-20","True","30203067","42","2","2","0","40","0","0","True",,"0","1","24","95","0","0","49.4302801",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30947-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30947-01 (4745-4795 Main St Vancouver)\05 Stickfile\30947-01 2022-11-01 The Riley Stickfile.pdf","2022-11-01","True","20762309","30","7","7","0","23","0","0","True",,"0","3","197","106","7","3","31.4964209",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30948-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30948-01 (514, 522, 530 W. 59th Vancouver BC)\05 Stickfile\30948-01 2026-07-17 Cambie 59 Stickfile.pdf","2026-07-17","True","4359738","23","9","15","0","14","0","0","True",,"15","3","277","43","8","3","136.3724181",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30949-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30949-01 (4989 – 5049 Ash Street, Vancouver B.C)\05 Stickfile\30949-01 2023-05-11 Autograph Stickfile.pdf","2023-05-11","True","16256772","26","8","8","0","18","0","0","True",,"0","4","669","73","29","4","229.0465067",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30954-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30954-01 (4506 Rupert St & 3309 Price St Vancouver)\05 Stickfile\30954-01 2023-08-15 4502 Rupert St Stickfile.pdf","2023-08-15","True","11580893","27","12","12","0","15","0","0","True",,"0","6","414","180","9","5","150.6188675",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30955-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30955-01 (1490 W 32nd Ave, Vancouver)\05 Stickfile\30955-01 2025-01-17 1490 W 32nd Ave Stickfile.pdf","2025-01-17","True","18949915","27","7","7","0","20","0","0","True",,"2","3","359","80","17","3","524.9568622",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30956-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30956-01 (724,726,728 Lea Ave, Coquitlam)\05 Stickfile\30956-01 2025-04-14 Lea Ave Stickfile.pdf","2025-04-14","True","3754984","24","3","3","0","21","0","0","True",,"2","1","77","45","0","0","71.3744078",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30957-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30957-01 (2153-2199 Kingsway @ Gladstone)\05 Stickfile\30957-01 2024-06-05 Kingsway @ Gladstone Stickfile.pdf","2024-06-05","True","17731491","31","14","14","0","17","0","0","True",,"0","7","703","138","30","7","385.8857907",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30960-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30960-01 (Emerald Place 2300 Madison Ave)\05 Stickfile\30960-01 2025-03-03 Emerald Place Stickfile.pdf","2025-03-03","True","6807079","57","30","51","0","27","0","46","True",,"24","46","578","556","12","9","358.7837764",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30960-02","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30960-02 (Emerald Place Sales Centre Burnaby)\05 Stickfile\30960-02 2024-04-08 Emerald Sales Centre Stickfile.pdf","2024-04-08","True","2062112","6","4","4","0","2","0","0","True",,"4","2","27","2","2","2","33.1780677",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30961-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30961-01 (River District Parcel 29 & 30)\05 Stickfile\30961-01 - 2026-04-23 - Parcel 29 - Structural Stickfile (including SSI#10).pdf","2026-04-23","True","25671827","65","39","50","0","26","0","35","True",,"22","36","854","1047","40","16","492.3266566",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30961-02","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30961-02 (River District Parcel 30)\05 Stickfile\30961-02 - 2024-10-03 - Parcel 30 - Struct. Stickfile.pdf","2024-10-03","True","4750039","43","23","24","0","20","0","26","True",,"24","26","934","1425","15","13","169.4093378",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30971-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30971-01 (10294 & 10302 City Parkway, Surrey, B.C)\05 Stickfile\30971-01 2023-01-19 City Parkway Stickfile.pdf","2023-01-19","True","12893084","47","21","25","0","26","0","59","True",,"23","59","556","671","21","20","251.8249284",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30972-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30972-01 (18th & 18th, Burnaby BC)\05 Stickfile\30972-01 - 2023-09-26 - 18th & 18th - Stickfile.pdf","2023-09-26","True","6896158","58","35","48","0","23","0","0","True",,"31","20","473","487","25","19","295.3824482",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\30972-01.e2k","34","19","False","317","463","33.07806415234071","317","425","316","frame from column registration, no shared grid labels (0 X / 0 Y): 317 of 487 of our columns within 100 mm of one of theirs after it; 24 of our columns stand beyond her model's footprint on their storey (more than 1.5 m past her outermost column) and are not judged: P1 5, P2 5, P3 4, L27 3, L1 3, ROOF 1, L29 1, L28 1, L2 1","\\Kor-fs01\Projects\Projects\03 Residential\30972-01 (18th & 18th, Burnaby BC)\02 Engineering\02 Lateral Design\01 ETABS MODELS\30972-01 EQ_Model_SG.EDB","2022-07-29","424"
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30973-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30973-01 (Compass Co-Housing Project, Langley)\05 Stickfile\30973-01 2025-11-07 Compass Stickfile.pdf","2025-11-07","True","97393311","18","13","13","0","5","0","0","True",,"0","3","540","734","18","3","292.4397765",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30974-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30974-01 (View & Maple Development - Mission BC)\05 Stickfile\30974-01 2023-07-26 View & Maple Stickfile.pdf","2023-07-26","True","8002577","14","7","7","0","7","0","0","True",,"7","7","199","364","3","3","151.0833336",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30977-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30977-01 (4108 Cambie St, Vancouver)\05 Stickfile\30977-01 2025-04-29 Sterling Stickfile.pdf","2025-04-29","True","15857726","30","11","11","0","19","0","0","True",,"0","7","513","31","33","7","224.6074181",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30978-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30978-01 (Dilworth Shopping Centre Kelowna)\05 Stickfile\30978-01 2026-09-09 Dilworth Centre Phase 1 Stickfile up to SSI 34.pdf","2026-09-09","True","27709427","44","25","25","0","19","0","0","True",,"21","7","1417","1584","56","7","368.5907066",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30980-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30980-01 (880 W 15 St North Vancouver)\05 Stickfile\30980-01_2025-09-05_880 W 15 Stickfile.pdf","2025-09-05","True","9829404","27","7","7","0","20","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"114.5362097",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30982-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30982-01 (2037-2061 East Broadway Vancouver)\05 Stickfile\30982-01 2026-04-06 Entroterra Stickfile SSI#17.pdf","2026-04-06","True","14143783","33","5","5","0","28","0","0","True",,"4","2","167","46","5","2","132.3567174",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30983-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30983-01 (6825 West Boulevard Vancouver)\05 Stickfile\30983-01 2022-02-14 6825 West Boulevard Stickfile.pdf","2022-02-14","True","8089667","22","15","15","0","7","0","0","True",,"0","4","930","1124","28","4","94.111065",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30984-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30984-01 (Central Park Village – Building 3)\05 Stickfile\30984-01 2022-10-07 Central Park Village Building 3 Stickfile.pdf","2022-10-07","True","15101278","25","9","9","0","16","0","0","True",,"0","8","327","65","12","8","123.7691292",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30985-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30985-01 (Rock Ridge @ 44-60 Seaview Dr Port Moody)\05 Stickfile\30985-01 2022-06-24 Rock Ridge Stickfile.pdf","2022-06-24","True","8074274","14","8","8","0","6","0","0","True",,"0","1","42","346","2","1","78.4479611",,,,,,,,,,,,,,,
"0ac235c3-7003-4f71-9413-727d851296fc","2026-09-15T23:40:54.6698402Z","2026-09-15T23:29:17.7229960Z","30986-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30986-01 (Kechi-O-Wekowin 9537 Prince Charles Blvd)\05 Stickfile\30986-01 Kechi-O-Wekowin Phase 1 Stickfile 2026-06-18.pdf","2026-06-18","True","8590416","38","21","21","0","17","0","0","True",,"11","6","1067","279","24","6","219.213973",,,,,,,,,,,,,,,
