category,job,folder,structural_issues,newest_issue_date,newest_date_from_name,newest_issue,other_stick_pdfs,architectural_pdfs,model_folder,e2k,edb
"03 Residential","31231-01","\\Kor-fs01\Projects\Projects\03 Residential\31231-01 (Sage Hills Calgary)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31231-01 (Sage Hills Calgary)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31232-01","\\Kor-fs01\Projects\Projects\03 Residential\31232-01 (1890 Comox Ave Comox)",0,"","","",1,3,"\\Kor-fs01\Projects\Projects\03 Residential\31232-01 (1890 Comox Ave Comox)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31233-01","\\Kor-fs01\Projects\Projects\03 Residential\31233-01 (North Lot Marine Dr Surrey)",1,"2026-09-11","yes","\\Kor-fs01\Projects\Projects\03 Residential\31233-01 (North Lot Marine Dr Surrey)\05 Stickfile\31233-01 2026-09-11 North Lot Marine Drive Surrey Stickfile.pdf",1,11,"\\Kor-fs01\Projects\Projects\03 Residential\31233-01 (North Lot Marine Dr Surrey)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31234-01","\\Kor-fs01\Projects\Projects\03 Residential\31234-01 (Saucier Avenue Multifamily Kelowna)",1,"2026-09-11","yes","\\Kor-fs01\Projects\Projects\03 Residential\31234-01 (Saucier Avenue Multifamily Kelowna)\05 Stickfile\31234-01 2026-09-11 Saucier Avenue Stickfile.pdf",1,2,"\\Kor-fs01\Projects\Projects\03 Residential\31234-01 (Saucier Avenue Multifamily Kelowna)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31235-01","\\Kor-fs01\Projects\Projects\03 Residential\31235-01 (1288 & 1256 Landing Lane Langford)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31235-01 (1288 & 1256 Landing Lane Langford)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31236-01","\\Kor-fs01\Projects\Projects\03 Residential\31236-01 (5 Unit Townhouse 9600 Garden City)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31236-01 (5 Unit Townhouse 9600 Garden City)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31237-01","\\Kor-fs01\Projects\Projects\03 Residential\31237-01 (Melville & Bute Vancouver)",1,"2026-02-23","yes","\\Kor-fs01\Projects\Projects\03 Residential\31237-01 (Melville & Bute Vancouver)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf",0,3,"\\Kor-fs01\Projects\Projects\03 Residential\31237-01 (Melville & Bute Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31238-01","\\Kor-fs01\Projects\Projects\03 Residential\31238-01 (Jensen Apartment Parksville BC)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31238-01 (Jensen Apartment Parksville BC)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31239-01","\\Kor-fs01\Projects\Projects\03 Residential\31239-01 (1485 Davie Street Vancouver)",0,"","","",1,4,"\\Kor-fs01\Projects\Projects\03 Residential\31239-01 (1485 Davie Street Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31240-01","\\Kor-fs01\Projects\Projects\03 Residential\31240-01 (River District Parcel 11 Vancouver)",0,"","","",1,3,"\\Kor-fs01\Projects\Projects\03 Residential\31240-01 (River District Parcel 11 Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31241-01","\\Kor-fs01\Projects\Projects\03 Residential\31241-01 (West 27th & Ash Cambie)",0,"","","",1,1,"\\Kor-fs01\Projects\Projects\03 Residential\31241-01 (West 27th & Ash Cambie)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40018-08","\\Kor-fs01\Projects\Projects\04 Commercial\40018-08 (High Gate Village Burnaby EV Charger)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40018-08 (High Gate Village Burnaby EV Charger)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40052-11","\\Kor-fs01\Projects\Projects\04 Commercial\40052-11 (Cityview Centre, Bldg A, Stair Addition)",0,"","","",0,0,"",0,0
"04 Commercial","40062-03","\\Kor-fs01\Projects\Projects\04 Commercial\40062-03 (210 - 3608 Carrington Rd Kelowna)",0,"","","",0,0,"",0,0
"04 Commercial","40064-06","\\Kor-fs01\Projects\Projects\04 Commercial\40064-06 (22201 Otter Co-op Surrey Review Drawings)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40064-06 (22201 Otter Co-op Surrey Review Drawings)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40065-18","\\Kor-fs01\Projects\Projects\04 Commercial\40065-18 (1025 Robson St - CRU 1 & 2)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40065-18 (1025 Robson St - CRU 1 & 2)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40065-20","\\Kor-fs01\Projects\Projects\04 Commercial\40065-20 (GAP 9958-1035 Robson St Core Hole Review)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40065-20 (GAP 9958-1035 Robson St Core Hole Review)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40069-08","\\Kor-fs01\Projects\Projects\04 Commercial\40069-08 (3053 Edgemont Bvld Drawing Review)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40069-08 (3053 Edgemont Bvld Drawing Review)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40069-09","\\Kor-fs01\Projects\Projects\04 Commercial\40069-09 (3053 Edgemont Blvd North Vancouver)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40069-09 (3053 Edgemont Blvd North Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40100-01","\\Kor-fs01\Projects\Projects\04 Commercial\40100-01 (Park Royal Cineplex)",0,"","","",0,0,"",0,0
"04 Commercial","40100-02","\\Kor-fs01\Projects\Projects\04 Commercial\40100-02 (Park Royal Cineplex - Crane opening)",0,"","","",0,0,"",0,0
"04 Commercial","40100-08","\\Kor-fs01\Projects\Projects\04 Commercial\40100-08 (Park Royal - New Brick Entrance)",0,"","","",0,0,"",0,0
"04 Commercial","40100-10","\\Kor-fs01\Projects\Projects\04 Commercial\40100-10 (Park Royal Cinemas Redesign After Tender)",0,"","","",0,0,"",0,0
"04 Commercial","40100-12","\\Kor-fs01\Projects\Projects\04 Commercial\40100-12 (Park Royal Cinemas Temp Loading & Shorin)",0,"","","",0,0,"",0,0
"04 Commercial","40100-18","\\Kor-fs01\Projects\Projects\04 Commercial\40100-18 (Park Royal Cinemas Loads Osaka Roof)",0,"","","",0,0,"",0,0
"04 Commercial","40100-27","\\Kor-fs01\Projects\Projects\04 Commercial\40100-27 (Park Royal Cinemas Lifeline Anchor Loads)",0,"","","",0,0,"",0,0
"04 Commercial","40100-28","\\Kor-fs01\Projects\Projects\04 Commercial\40100-28 (Park Royal Cinemas East Side Walkway)",0,"","","",0,0,"",0,0
"04 Commercial","40100-29","\\Kor-fs01\Projects\Projects\04 Commercial\40100-29 (Park Royal Cinemas Redesign Brick Entry)",0,"","","",0,0,"",0,0
"04 Commercial","40100-31","\\Kor-fs01\Projects\Projects\04 Commercial\40100-31 (Park Royal Cinemas Joists to Replace Bea)",0,"","","",0,0,"",0,0
"04 Commercial","40100-33","\\Kor-fs01\Projects\Projects\04 Commercial\40100-33 (Park Royal Cinemas Review Krahn Drawings)",0,"","","",0,0,"",0,0
"04 Commercial","40100-34","\\Kor-fs01\Projects\Projects\04 Commercial\40100-34 (Park Royal Cinemas Misc. Metal on Kingsp)",0,"","","",0,0,"",0,0
"04 Commercial","40100-35","\\Kor-fs01\Projects\Projects\04 Commercial\40100-35 (Park Royal Cinemas Elevator Shaft)",0,"","","",0,0,"",0,0
"04 Commercial","40100-36","\\Kor-fs01\Projects\Projects\04 Commercial\40100-36 (Park Royal Cinemas Seismic Bracing)",0,"","","",0,0,"",0,0
"04 Commercial","40100-37","\\Kor-fs01\Projects\Projects\04 Commercial\40100-37 (Park Royal Cinemas Gutter System)",0,"","","",0,0,"",0,0
"04 Commercial","40100-38","\\Kor-fs01\Projects\Projects\04 Commercial\40100-38 (Park Royal Cinemas Traugott Scaffold)",0,"","","",0,0,"",0,0
"04 Commercial","40100-39","\\Kor-fs01\Projects\Projects\04 Commercial\40100-39 (Park Royal Cinemas-Re-design Wall Suppor)",0,"","","",0,0,"",0,0
"04 Commercial","40100-40","\\Kor-fs01\Projects\Projects\04 Commercial\40100-40 (Park Royal Cinemas- Seismic Shearwall)",0,"","","",0,0,"",0,0
"04 Commercial","40100-41","\\Kor-fs01\Projects\Projects\04 Commercial\40100-41 (Park Royal Cinemas Scissor Lift)",0,"","","",0,0,"",0,0
"04 Commercial","40100-48","\\Kor-fs01\Projects\Projects\04 Commercial\40100-48 (PR Cinemas Joist Reconstruction)",0,"","","",0,0,"",0,0
"04 Commercial","40102-01","\\Kor-fs01\Projects\Projects\04 Commercial\40102-01 (980 George St, Vancouver)",1,"2019-04-18","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40102-01 (980 George St, Vancouver)\05 Stickfile\40102-980 George St-Stickfile-2019-04-18.pdf",0,1,"",0,0
"04 Commercial","40102-02","\\Kor-fs01\Projects\Projects\04 Commercial\40102-02 (980 George St Adjacent Bldg Report)",0,"","","",0,0,"",0,0
"04 Commercial","40102-03","\\Kor-fs01\Projects\Projects\04 Commercial\40102-03 (#301 - 980 George St CarboNet Cores)",0,"","","",0,0,"",0,0
"04 Commercial","40102-04","\\Kor-fs01\Projects\Projects\04 Commercial\40102-04 (Unit #302 - 980 George St, Vancouver, BC)",0,"","","",0,0,"",0,0
"04 Commercial","40102-05","\\Kor-fs01\Projects\Projects\04 Commercial\40102-05 (980 George St 4th Floor T.I.)",0,"","","",0,0,"",0,0
"04 Commercial","40102-06","\\Kor-fs01\Projects\Projects\04 Commercial\40102-06 (200 980 George St Vancouver Core Hole)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40102-06 (200 980 George St Vancouver Core Hole)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40102-07","\\Kor-fs01\Projects\Projects\04 Commercial\40102-07 (990 George Street, Vancouver, B.C.)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40102-07 (990 George Street, Vancouver, B.C.)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
