run_id,run_at_utc,tool_built_at_utc,job,category,set_kind,pdf,issue_date,issue_date_from_name,bytes,pages,plan_sheets,sheets_written,sheets_failed,sheets_not_plan,assembly_cards,storeys_read,has_model,model_error,sheets_placed,storeys_built,walls,columns,floors,storeys_with_plate,seconds,error,yardstick,yardstick_storeys,shared_storeys,frame_from_grids,frame_support,ours_compared,ours_median_mm,ours_within_100,theirs_compared,theirs_within_100,yardstick_note,yardstick_edb,yardstick_written,yardstick_age_days
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31099-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31099-01 (2560-2580 Trafalgar St Vancouver)\05 Stickfile\31099-01 2024-12-11 - Trafalgar - Struct Stickfile.pdf","2024-12-11","True","1602147","25","7","7","0","18","0","0","True",,"7","5","217","19","4","4","64.17342000000001",,,,,,,,,,,,,,,
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31101-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31101-01 (955 Timmins St Penticton)\05 Stickfile\31101-01 - 2026-03-30 - 955 Timmins St Penticton - Stickfile (Including SSI#18).pdf","2026-03-30","True","20282121","27","12","12","0","15","0","0","True",,"8","8","856","213","1","1","958.7657982",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\31101-01.e2k","1","1","False","25","33","40.227807700745885","25","28","25","frame from column registration, no shared grid labels (0 X / 0 Y): 25 of 37 of our columns within 100 mm of one of theirs after it; 4 of our columns stand beyond her model's footprint on their storey (more than 1.5 m past her outermost column) and are not judged: L1 4","\\Kor-fs01\Projects\Projects\03 Residential\31101-01 (955 Timmins St Penticton)\02 Engineering\02 Lateral Design\01 ETABS Models\31101 Timmins 2024-10-23.EDB","2025-02-24","399"
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31103-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31103-01 (13425 & 13455 107A Ave Surrey)\05 Stickfile\31103-01 - 2024-02-01 - Sterling Whalley - East Tower - Stickfile.pdf","2024-02-01","True","60748691","64","39","43","0","25","0","56","True",,"0","56","574","749","11","11","344.4222425",,,,,,,,,,,,,,,
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31104-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31104-01 (3080 West Broadway Vancouver)\05 Stickfile\31104-01 2026-09-03 BP REVIEW ZOE Stickfile.pdf","2026-09-03","True","8952844","27","10","10","0","17","0","7","True",,"10","7","156","255","1","1","203.4804782",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\31104-01.e2k","7","6","False","184","253","15.475801455045222","184","222","184","frame from column registration, no shared grid labels (0 X / 0 Y): 184 of 255 of our columns within 100 mm of one of theirs after it; 2 of our columns stand beyond her model's footprint on their storey (more than 1.5 m past her outermost column) and are not judged: L2 1, L1 1",,,
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31106-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31106-01 (Hilton Rd & Bentley Rd Surrey)\05 Stickfile\31106-01 2025-06-19 Hilton Rd & Bentley Rd Stickfile.pdf","2025-06-19","True","4617478","26","11","11","0","15","0","0","True",,"10","7","1046","394","9","6","213.34424470000002",,,,,,,,,,,,,,,
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31107-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31107-01 (Elk Crossing Duplex Ph 1 Cranbrook BC)\05 Stickfile\31107-01 2024-01-19 Elk Crossing Duplex Ph 1 Stickfile.pdf","2024-01-19","True","1330503","11","5","5","0","6","0","0","True",,"5","2","28","2","1","1","21.305511199999998",,,,,,,,,,,,,,,
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31108-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31108-01 (6489 Paddle Road North Cowichan)\05 Stickfile\31108-01 2024-12-18 Paddle Rd Stickfile.pdf","2024-12-18","True","4365074","23","9","9","0","14","0","0","True",,"8","7","256","126","11","6","154.4147461",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\31108-01.e2k","2","2","False","35","58","2.5226358171559657","35","58","35","frame from column registration, no shared grid labels (0 X / 0 Y): 35 of 58 of our columns within 100 mm of one of theirs after it","\\Kor-fs01\Projects\Projects\03 Residential\31108-01 (6489 Paddle Road North Cowichan)\02 Engineering\02 Lateral Design\01 ETABS Models\31108 EQ.EDB","2024-07-03","168"
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31116-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31116-01 (717 Edgar Ave Coquitlam)\05 Stickfile\31116-01 2026-07-20 Edgar Stickfile.pdf","2026-07-20","True","2119583","14","8","8","0","6","0","0","True",,"0","3","97","402","3","3","65.3610012",,,,,,,,,,,,,,,
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31117-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31117-01 (2726-2730 W 16 Ave Vancouver)\05 Stickfile\31117-01 2026-03-19 2726-2730 W16th Ave Stickfile - SSI#5.pdf","2026-03-19","True","5848844","27","9","9","0","18","0","3","True",,"9","7","431","116","8","7","131.26044620000002",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\31117-01.e2k","2","2","False","20","36","57.51474435562204","20","31","20","frame from column registration, no shared grid labels (0 X / 0 Y): 20 of 77 of our columns within 100 mm of one of theirs after it; 41 of our columns stand beyond her model's footprint on their storey (more than 1.5 m past her outermost column) and are not judged: L2 30, L1 11","\\Kor-fs01\Projects\Projects\03 Residential\31117-01 (2726-2730 W 16 Ave Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models\31117-01 - W16th gravity model full.EDB","2025-03-19","365"
"8929573a-e249-4537-a761-09f7bdd2f333","2026-09-15T20:17:45.6412594Z","2026-09-15T19:03:54.0532130Z","31118-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\31118-01 (704 Delestre Ave Coquitlam)\05 Stickfile\31118-01 2025-03-28 - 704 Delestre Ave - Stickfile.pdf","2025-03-28","True","4350748","33","13","13","0","20","0","0","True",,"9","10","317","76","15","9","234.4534188",,,,,,,,,,,,,,,
