run_id,run_at_utc,tool_built_at_utc,job,category,set_kind,pdf,issue_date,issue_date_from_name,bytes,pages,plan_sheets,sheets_written,sheets_failed,sheets_not_plan,assembly_cards,storeys_read,has_model,model_error,sheets_placed,storeys_built,walls,columns,floors,storeys_with_plate,seconds,error,yardstick,yardstick_storeys,shared_storeys,frame_from_grids,frame_support,ours_compared,ours_median_mm,ours_within_100,theirs_compared,theirs_within_100,yardstick_note
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30743-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30743-01 (Green, 700 Block East 3rd St, N Vancouver)\05 Stickfile\30743-01 Struct Stickfile 2020-04-28.pdf","2020-04-28","True","31370233","40","0","0","0","40","0","0","False","no plan sheet with structure on it",,,,,,,"208.6587723",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30751-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30751-01 (365 East 2nd St)\05 Stickfile\30751-01 - 365 Res - Struct Stickfile - 2021-11-18.pdf","2021-11-18","True","13903130","24","11","11","0","13","0","0","False","no storeys read off the elevations",,,,,,,"49.645142",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30756-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30756-01 (325-343 West 41st Avenue - Small Rental, Vancouver)\05 Stickfile\30756-01 - 2025-12-15 -  5696 Alberta St - Stickfile.pdf","2025-12-15","True","10394325","31","13","21","0","18","0","18","True",,"13","18","278","408","6","4","114.2662838",,"C:\Users\ilalonde\AppData\Local\Temp\kor-drawings\yardsticks\30756-01.e2k","0","0","True","0","0",,"0","0","0",
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30768-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30768-01 (Riva Bldg 5 - Alderbridge Way, Richmond)\05 Stickfile\30768-01 2026-09-04 NEW Riva Bldg 5 Stickfile.pdf","2026-09-04","True","15821195","39","18","18","0","21","0","0","False","no storeys read off the elevations",,,,,,,"1057.5129435",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30780-08","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30780-08 (Hyatt Place Signage 6505 Burnaby)\05 Stickfile\30780-01 2025-11-07 Hyatt Signage Stickfile.pdf","2025-11-07","True","263026","1","0","0","0","1","0","0","False","no plan sheet with structure on it",,,,,,,"0.6920908",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30780-10","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30780-10 (6505 Sussex Ave Hyatt Signage Install)\05 Stickfile\30780-01 2026-03-03 Hyatt Signage Stickfile.pdf","2026-03-03","True","204541","1","0","0","0","1","0","0","False","no plan sheet with structure on it",,,,,,,"0.1658191",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30783-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30783-01 (500 Foster Avenue & 633 North Road, Coquitlam - HIGH-RISE)\05 Stickfile\30783-01 - 2026-05-04 - 500 Foster Ave - Stickfile (Including SSI 23).pdf","2026-05-04","True","18602317","82","48","69","0","34","0","0","False","no storeys read off the elevations",,,,,,,"292.972724",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30784-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30784-01 (500 Foster Avenue & 633 North Road, Coquitlam - WOOD FRAME)\05 Stickfile\30784-01  500 Foster Ave Stickfile -2026-09-09 (UPTO SSI-10).pdf","2026-09-09","True","10311602","38","16","16","0","22","0","4","True",,"12","4","233","131","4","2","408.6455641",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30798-06","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30798-06 (LOLO 222 East 2nd St Redesign Roof Fence)\05 Stickfile\30798-01 Lolo Stickfile 2022-07-20.pdf","2022-07-20","True","41838492","51","34","34","0","17","0","0","False","no storeys read off the elevations",,,,,,,"758.5994243",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30804-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30804-01 (899 Esquimalt Road & 896 Wollaston Street, Victoria)\05 Stickfile\30804-01 2024-09-24 - Pacific House - Stickfile SSI 08.pdf","2024-09-24","True","19589219","32","2","2","0","30","0","0","False","no storeys read off the elevations",,,,,,,"49.8225528",,,,,,,,,,,,
