ShortId,LongId,Kind,ShortName,LongName,ShortIntel,LongIntel,ShortDomain,LongDomain
"69026","70918","GC","EllisDon Infrastructure","EllisDon Infrastructure Healthcare","7","0","ellisdon.com",""
"69595","72299","Competitor","Jarvis Engineering","Jarvis Engineering Consultants","4","3","jarviseng.com",""
"75158","76850","GC","Sundt Construction","Sundt Construction (California)","5","2","","sundt.com"
"54333","56532","Architect","Architectura","ARCHITECTURA GESTION CONSULTANT INC","2","4","",""
"271570","76817","Architect","Kohn Pedersen Fox","Kohn Pedersen Fox Associates","3","3","",""
"75153","271695","GC","Swinerton","Swinerton and Rubecon","6","0","",""
"113969","68740","Competitor","Eng-Spire","Eng-Spire Consulting Inc.","0","6","","eng-spire.com"
"271537","77714","Architect","MCM Architects","MCM Architects (Musson Cattell Mackey)","3","3","","mcmparchitects.com"
"75596","24737","Developer","Conwest","Conwest Development Ltd","3","2","",""
"271674","30386","GC","Darwin Construction","Darwin Construction (Canada) Ltd.","0","5","",""
"16106","16108","GC","Stirling Construction","Stirling Construction Ltd. 33% of","4","1","",""
"68987","70567","GC","Team Construction","Team Construction Management (1981) Ltd.","5","0","teamconstruction.ca",""
"68827","38944","Developer","Cidex Group","Cidex Group of Companies","0","5","","cidexgroup.com"
"77149","68666","Developer","Thomas Safran & Associates","Thomas Safran & Associates Development, Inc.","4","0","tsainc.com",""
"72190","77684","Architect","HDR Architecture Associates","HDR Architecture Associates Inc. (HDR|CEI)","4","0","",""
"271697","76895","GC","Nibbi Brothers","Nibbi Brothers General Contractors","0","4","","nibbi.com"
"75596","77779","Developer","Conwest","Conwest Developments","3","0","",""
"109620","77687","Architect","DIALOG BC","DIALOG BC Architecture Engineering Interior Design Planning Inc.","3","0","",""
"54727","271545","Architect","Wayne Stephen Bissky Architecture","Wayne Stephen Bissky Architecture Urban Design Inc.","3","0","",""
"113898","68742","Competitor","Magnusson Klemencic Associates","Magnusson Klemencic Associates (MKA)","0","3","","mka.com"
"113392","109619","Architect","Kasian","Kasian Architecture (master plan only)","3","0","",""
"77000","77003","GC","ARCO Murray","ARCO MURRAY NATIONAL NORCAL, LLC","3","0","",""
"113704","20263","GC","Omicron","Omicron Construction Ltd","0","2","",""
"113704","35086","GC","Omicron","Omicron Construction Management Ltd","0","2","",""
"31502","20985","GC","Genuine Quality Construction","Genuine Quality Construction & Design Ltd.","0","2","",""
"28894","25279","Developer","Bricklane Developments","Bricklane Developments - 0869270 BC LTD","2","0","",""
"54615","27561","Developer","Garcha","Garcha Holdings and Investments Ltd","0","2","",""
"54576","53757","Developer","Lakewood","Lakewood Homes","0","2","",""
"113624","77732","Architect","Bjarke Ingels Group","Bjarke Ingels Group (BIG)","0","2","","big.dk"
"271696","54944","GC","Hathaway Dinwiddie","Hathaway Dinwiddie Construction","0","2","","hathawaydinwiddie.com"
"365126","76825","Competitor","Buehler Engineering","Buehler Engineering (Buehler & Buehler)","0","2","","buehlerengineering.com"
"77730","77780","Developer","Prologis","Prologis Canada","2","0","prologis.com",""
"48716","29545","GC","Onside Restoration","Onside Restoration - Rick Smith","1","0","",""
"272389","77882","Competitor","Weiler Smith Bowers","Weiler Smith Bowers Structural Engineers (WSB)","0","1","","wsb-eng.com"
"113704","69969","GC","Omicron","Omicron (Design-Build)","0","0","",""
"70674","70676","Developer","Townline","Townline Housing","0","0","",""
"113902","77686","GC","PCL Constructors","PCL Constructors Westcoast Inc.","0","0","",""
"70072","70977","Developer","Community Land Trust","Community Land Trust Foundation of BC","0","0","",""
"240239","71539","Competitor","Tower Engineering Group","Tower Engineering Group LP (AB)","0","0","",""
"35974","35976","GC","ActFAST Restoration","ActFAST Restoration and Repairs Ltd","0","0","",""
"272389","77757","Competitor","Weiler Smith Bowers","Weiler Smith Bowers (WSB) Consulting Structural Engineers","0","0","","wsb-eng.com"
"54143","70615","Developer","SmartCentres","SmartCentres REIT","0","0","",""
"54265","54838","Developer","Glencore","Glencore Xstrata plc","0","0","",""
"54556","54803","Developer","Gramercy","Gramercy Developments","0","0","",""
"68823","54675","Developer","Beacon","Beacon Carmannah Developments","0","0","comox.ca",""
"113901","69944","Architect","Wayne Fougere","Wayne Fougere (architect for residential component)","0","0","",""
"113897","69886","Architect","Folio Architecture","Folio Architecture (Ron Lea)","0","0","",""
"240223","71748","GC","BLM Construction Group Ltd.","BLM Construction Group ltd. (Edmonton Office)","0","0","",""
"271719","271724","Unknown","Toll Brothers","Toll Brothers Apartment Living","0","0","",""
"797326","77939","Unknown","Placer County","Placer County Resource Conservation District","0","0","",""
"797326","365117","Unknown","Placer County","Placer County Community Development Resource Agency","0","0","",""
"272370","272367","Architect","Kuchman Architects","Kuchman Architects PC","0","0","",""
