Id,Kind,DisplayName,StoredFuzzy,ExpectedFuzzy
"20523","GC","Lopes Renovation + Construction Inc.","lopesrenovationconstruction","lopesrenovationandconstruction"
"20783","GC","R&M VANCOUVER CONSTRUCTION CO LTD","rmvancouverconstruction","randmvancouverconstruction"
"21012","Architect","Sean Best Architecture + Design Inc.","seanbestarchitecturedesign","seanbestarchitectureanddesign"
"21339","Developer","Y&L Developments Canada Ltd.","yldevelopmentscanada","yandldevelopmentscanada"
"21595","Architect","Bau Studio + Architecture Inc.","baustudioarchitecture","baustudioandarchitecture"
"21856","Architect","Noble Architecture + Interiors","noblearchitectureinteriors","noblearchitectureandinteriors"
"22105","Developer","J&R Properties Ltd.","jrproperties","jandrproperties"
"22298","GC","D&N Construction","dnconstruction","dandnconstruction"
"23375","Architect","Taylor Kurtz Architecture + Design Inc.","taylorkurtzarchitecturedesign","taylorkurtzarchitectureanddesign"
"23687","Architect","One Seed Architecture + Interiors Inc.","oneseedarchitectureinteriors","oneseedarchitectureandinteriors"
"24291","GC","G&G Elite Home Builders Inc.","ggelitehomebuilders","gandgelitehomebuilders"
"24306","Architect","Frits de Vries Architects + Associates Ltd.","fritsdevriesarchitectsassociates","fritsdevriesarchitectsandassociates"
"24547","Architect","HNPA Architecture + Planning","hnpaarchitectureplanning","hnpaarchitectureandplanning"
"26654","Architect","Simplex + G Architecture Inc.","simplexgarchitecture","simplexandgarchitecture"
"26751","Developer","B&G Bhatti Holdings Ltd.","bgbhattiholdings","bandgbhattiholdings"
"27469","Architect","Harmonic Architecture + Design","harmonicarchitecturedesign","harmonicarchitectureanddesign"
"28098","Architect","Mara + Natha architecture","maranathaarchitecture","maraandnathaarchitecture"
"28938","Architect","Dandyk + Wollin Architects Inc.","dandykwollinarchitects","dandykandwollinarchitects"
"30803","GC","M&F Construction Management","mfconstructionmanagement","mandfconstructionmanagement"
"33938","Architect","Hessey Consulting + Architecture Inc.","hesseyconsultingarchitecture","hesseyconsultingandarchitecture"
"35713","Architect","euoi studio architecture + design","euoistudioarchitecturedesign","euoistudioarchitectureanddesign"
"38969","Architect","office of mcfarlane biggar architects + designers (OMB)","officeofmcfarlanebiggararchitectsdesignersomb","officeofmcfarlanebiggararchitectsanddesignersomb"
"38972","Architect","Public Architecture + Design Inc.","publicarchitecturedesign","publicarchitectureanddesign"
"40036","Architect","Stewart + Tsai Architects","stewarttsaiarchitects","stewartandtsaiarchitects"
"46592","GC","H&H Construction","hhconstruction","handhconstruction"
"46646","GC","A&J Hanna Construction","ajhannaconstruction","aandjhannaconstruction"
"46709","GC","C&S Builders","csbuilders","candsbuilders"
"46814","Competitor","Jokinen + Ojdrovic Engineers in Joint Venture","jokinenojdrovicengineersinjointventure","jokinenandojdrovicengineersinjointventure"
"47201","Competitor","D&L Engineering Sales Limited","dlengineeringsales","dandlengineeringsales"
"47863","GC","A&O Contracting Inc","aocontracting","aandocontracting"
"51053","Architect","Lalande + Doyle Architects Inc.","lalandedoylearchitects","lalandeanddoylearchitects"
"52018","Architect","COSTANTINO + ASSOCIATES ARCHITECT","costantinoassociatesarchitect","costantinoandassociatesarchitect"
"54375","Architect","D'Ambrosio Architecture + Urbanism","dambrosioarchitectureurbanism","dambrosioarchitectureandurbanism"
"54731","Developer","Dawson + Sawyer","dawsonsawyer","dawsonandsawyer"
"54975","Client","Vancouver Community College + Langara College (combined)","vancouvercommunitycollegelangaracollegecombined","vancouvercommunitycollegeandlangaracollegecombined"
"55016","Developer","Musqueam + Tsleil-Waututh + Aquilini Development","musqueamtsleilwaututhaquilinidevelopment","musqueamandtsleilwaututhandaquilinidevelopment"
"55018","Developer","Nch'ḵay̓ West (Nch'ḵay̓ Development Corp + OPTrust)","nchḵay̓westnchḵay̓developmentcorpoptrust","nchḵay̓westnchḵay̓developmentcorpandoptrust"
"55020","Developer","Nch'ḵay̓ Development Corporation + Hiy̓ám̓ Housing","nchḵay̓developmentcorporationhiy̓ám̓housing","nchḵay̓developmentcorporationandhiy̓ám̓housing"
"55021","Developer","Musqueam Capital Corporation + Polygon Homes","musqueamcapitalcorporationpolygonhomes","musqueamcapitalcorporationandpolygonhomes"
"55022","Developer","Takaya Developments + Aquilini Group","takayadevelopmentsaquilinigroup","takayadevelopmentsandaquilinigroup"
"55034","Developer","Songhees Development Corporation + BC Housing","songheesdevelopmentcorporationbchousing","songheesdevelopmentcorporationandbchousing"
"55039","Buyer","Haisla Nation + Pembina Pipeline Corporation","haislanationpembinapipeline","haislanationandpembinapipeline"
"55042","Buyer","Squiala First Nation + Property Development Group + League Assets","squialafirstnationpropertydevelopmentgroupleagueassets","squialafirstnationandpropertydevelopmentgroupandleagueassets"
"55105","Developer","Fast + Solterra Development","fastsolterradevelopment","fastandsolterradevelopment"
"58416","Architect","Kobayashi + Zedda Architects Ltd.","kobayashizeddaarchitects","kobayashiandzeddaarchitects"
"63332","Architect","Norr Limited Architects + Engineers","norrlimitedarchitectsengineers","norrlimitedarchitectsandengineers"
