Domain,Tier,Members,Orgs
"surrey.ca","U1","2","18838 City of Surrey | 77840 City of Surrey (Centre Block)"
"tpsgc-pwgsc.gc.ca","U1","3","42656 Public Works and Government Services Canada | 70262 Public Services and Procurement Canada (PSPC/PWGSC) | 70265 Public Services and Procurement Canada"
"surreyschools.ca","U1","3","54964 SD36 Surrey School District | 76748 School District 36 Surrey | 77768 Surrey School District No. 36 (SD36)"
"ecsd.net","U1","2","68837 Edmonton Catholic Schools (ECSD) | 77439 Edmonton Catholic School Division"
"pdx.edu","U1","2","68845 Portland State University | 77516 Portland State University (PSU)"
"majorprojects.alberta.ca","U2","2","53581 Katz Group | 68805 ICE District"
"sd35.bc.ca","U1","3","54963 SD35 Langley School District | 77415 School District 35 Langley | 77773 Langley School District No. 35 (SD35)"
"sd62.bc.ca","U1","3","68990 SD62 Sooke School District | 77420 School District 62 Sooke | 77769 Sooke School District No. 62 (SD62)"
"blackgold.ca","U1","2","287 Black Gold School Division | 77441 Black Gold Regional Division"
"princegeorge.ca","U1","2","38977 Simzer Design Inc. | 73822 City of Prince George"
"yyc.com","U1","2","53260 Calgary Airport Authority | 77889 Calgary Airport Authority (YYC)"
"abbyschools.ca","U1","3","53999 Alterra Power Corp. | 68848 SD34 Abbotsford School District | 77417 School District 34 Abbotsford"
"cbe.ab.ca","U1","2","54046 Emaar Canada | 72042 Calgary Board of Education"
"fpm.oregonstate.edu","U1","2","65797 Oregon State University | 77515 Oregon State University (OSU) — Corvallis"
"providence.org","U1","3","68844 Providence St. Joseph Health (Providence Swedish in WA) | 77490 Providence Health & Services (California) | 77518 Providence Health & Services (Oregon and Washington)"
"translink.ca","U1","3","69680 TransLink | 77837 TransLink Real Estate | 77890 TransLink / BCRTC (Metro Vancouver Rapid Transit)"
"sd33.bc.ca","U1","3","75752 SD33 Chilliwack School District | 77416 School District 33 Chilliwack | 77775 Chilliwack School District No. 33 (SD33)"
"squamish.net","U1","3","18902 Squamish Indian Band | 71489 Squamish Nation | 77867 Squamish Nation (Sḵwx̱wú7mesh Úxwumixw)"
"bcferries.com","U1","2","53730 BC Ferries Corporation | 76467 BC Ferries (British Columbia Ferry Services Inc.)"
"yyj.ca","U1","2","54634 Victoria Airport Authority | 77885 Victoria Airport Authority (YYJ)"
"oaklandca.gov","U1","3","76916 City of Oakland | 77477 Oakland Unified School District (OUSD) | 77506 City of Oakland — Capital Improvement Program"
