Id,NewKind,Name
47352,Developer,"Eon Saywell Developments Ltd"
7083,Architect,"ERA Architects Inc"
20430,Architect,"Eszter Csutkai Architect"
41705,Developer,"ET DEVELOPMENT"
23484,Developer,"European Style Homes Ltd"
28166,Developer,"Everglade Development Ltd."
24739,Developer,"Evergreen Court Developments Ltd."
68117,Architect,"EVOQ ARCHITECTURE INC."
20733,Developer,"Excellentia Homes LTD"
56531,Architect,"FABRIQ ARCHITECTURE"
28387,Developer,"Fairbrother Homes Ltd"
20231,Developer,"Fairlands Custom Homes"
19925,Architect,"Feenstra Architecture Inc."
7379,Architect,"Ferrari Westwood Babits Architects"
7394,Architect,"Field Lievers Architecture"
7396,Architect,"Field Lievers Architecture Ltd. Two-envelope submission"
24716,Developer,"Filio Executive Homes Ltd"
23043,Developer,"Fina Development Group"
34704,Developer,"Fircrest Developments ltd."
33659,Architect,"FLUID Architecture"
40050,Developer,"FOOD DEVELOPMENT CENTRE"
34118,Architect,"for Hollingsworth Architecture INc"
28023,Developer,"Forme Development"
24837,Developer,"Formwerks Boutique Properties"
30027,Architect,"Fougere Architecture Inc"
59962,Architect,"FOUGERE MENCHENTON ARCHITECTURE INC"
19564,Developer,"Four Corners Homes Ltd."
7708,Developer,"Four Worlds Centre for Development Learning"
33395,Architect,"Fox Architecture Inc."
7714,Developer,"Fox Creek Development"
7715,Developer,"Fox Creek Development Association Ltd."
19882,Architect,"Frahcl Architecture"
29802,Architect,"Franco Tessari Architect"
52637,Developer,"FROZEN NORTH DEVELOPMENTS LTD."
59229,Architect,"FSA ARCHITECTURE INC"
21043,Developer,"Future Living Developments"
7877,Developer,"G.T. LYNCH DEVELOPMENTS INC."
30557,Developer,"Gaijo Developments"
40391,Developer,"GAMS DEVELOPMENT CORPORATION"
32013,Developer,"Garren Development Ltd"
31360,Architect,"georg koslowski architect"
8131,Architect,"gh3 architecture"
32541,Developer,"GIHI STREET DEVELOPMENT LTD."
61619,Architect,"GNS Architects"
23223,Developer,"Golden Extra Development Ltd."
23603,Developer,"Goldenline Homes Ltd."
25553,Developer,"Goldlane Homes"
31445,Developer,"GPF developments ltd."
63774,Architect,"GR7 Architecture Inc"
8341,Architect,"Grace Architecture Inc."
20502,Architect,"Gradual Architecture"
24341,Developer,"Grande Pacific Homes"
26200,Developer,"Granity Homes Ltd"
8395,Architect,"Grant Moore Architecture Ltd."
55734,Architect,"GRC ARCHITECTS INC."
31891,Developer,"Green Craft Homes"
21675,Developer,"Green Oak Development Corp"
28628,Developer,"Green-Tech Homes Ltd"
27818,Developer,"Grenor Homes"
30078,Developer,"Gresford Developments Inc."
8531,Architect,"Ground3 Landscape Architects Inc."
40629,Developer,"GULF DEVELOPMENTS INC"
30665,Architect,"Gustavson Wiley Architects Inc"
19491,Architect,"Gustavson Wylie Architects Inc."
8637,Architect,"H2 Architecture Ltd./ Burgess Bredo Architect Ltd."
22097,Architect,"Haeccity Studio Architecture"
35286,Architect,"Hajdo Forbes Architect"
19709,Architect,"Halex Architecture"
28199,Developer,"Handmade Homes Ltd"
32230,Architect,"Hanson Architect"
31454,Developer,"Hanson Homes"
34879,Developer,"Happy Pacific Developments Ltd."
24880,Developer,"Hara Homes"
50752,Developer,"HARBOUR DEVELOPMENT INC."
58803,Developer,"HARMONY LEADERSHIP DEVELOPMENT"
8731,Architect,"HARTWIG ARCHITECTURE INC."
23392,Developer,"Hayer Development Ltd."
21342,Developer,"HBD Homes Ltd"
66303,Architect,"HCI Architecture Inc"
8837,Developer,"Hedgehog Development"
32337,Developer,"Henderson Development (Canada) Ltd"
68162,Architect,"HENRY DOWNING ARCHITECTS"
51824,Developer,"HERITAGE DEVELOPMENTS LIMITED"
8915,Architect,"HFKS Architects Inc"
23277,Developer,"Hi-Beam Properties Ltd."
27275,Developer,"High Cliff Homes Ltd."
24122,Developer,"Highbury West Development Inc."
36826,Developer,"Highlight Homes"
23355,Developer,"HL Properties"
9015,Architect,"Hodgson Schilf Architects Inc."
9016,Architect,"Hodgson Schilf Evans Architects Incorporated"
23645,Developer,"Holyside Property Development Ltd."
36770,Architect,"Hone Architecture"
48404,Developer,"Horizon Homes"
22146,Developer,"Horizon One Properties LTD"
61964,Developer,"HORIZONS COMMUNITY DEVELOPMENT"
33655,Architect,"Hotson Architecture Inc"
29211,Architect,"Hui Hu Architect"
25318,Developer,"I Hunter Development Ltd"
9210,Architect,"Ian Moxon Architect"
51663,Developer,"ICE DEVELOPMENT LTD."
60334,Developer,"IDMAG - International Development"
51963,Architect,"IF THEN ARCHITECTURE INC."
19978,Architect,"Igel Architecture"
40244,Developer,"IMAGEMAKER DEVELOPMENT INC"
61105,Developer,"Impact Business Development"
60872,Developer,"Impact Business Development Consult"
30309,Developer,"Incircle Development Inc."
34961,Developer,"Infinity Custom Homes Ltd."
21143,Developer,"Infinity West Development Group Inc"
9449,Architect,"Information Security Architects Inc. (ISA) ITQ has been awarded to ISA"
9450,Architect,"Information Systems Architects Inc."
21404,Architect,"Innes Yates Architect"
20322,Architect,"InSite Architecture Inc"
37867,Architect,"Inspired Architecture"
36465,Architect,"Interface Architecture"
28186,Architect,"Intern Architect"
58274,Developer,"INTERNATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT"
9668,Developer,"Intervine Development Corp. (PHS Disaster Services)"
66375,Developer,"Inuvialuit Development Corporation"
33950,Developer,"Iron Eagle Development"
33361,Developer,"ISHONI DEVELOPMENT GROUP"
9799,Architect,"Iterate Architecture Inc."
9816,Architect,"iwanski architecture inc."
25584,Developer,"J B Herron Homes"
22105,Developer,"J&R Properties Ltd."
28956,Developer,"J. Iles Homes"
29144,Developer,"Jagpal Development Ltd"
