GroupKey,SurvivorId,SurvivorName,SurvivorKind,LoserId,LoserName,LoserKind,FkRefsRepointed
couttscommunicates,39135,COUTTS COMMUNICATES INC.,Vendor,73281,Coutts Communicates,Vendor,2
cpcstranscom,5499,CPCS Transcom Ltd,Vendor,73239,CPCS TRANSCOM LIMITED,Vendor,2
crestroncanada,40399,CRESTRON CANADA LTD,Vendor,73133,CRESTRON CANADA INC,Vendor,3
darehumanresources,63015,DARE HUMAN RESOURCES CORPORATION,Vendor,72887,DARE HUMAN RESOURCES,Vendor,2
davidjcupidoconstruction,46596,David J. Cupido Construction Ltd,GC,73360,DAVID J. CUPIDO CONSTRUCTION,Vendor,2
decisivetechnologies,39210,DECISIVE TECHNOLOGIES INC.,Vendor,72772,DECISIVE TECHNOLOGIES,Vendor,3
defran,39981,DEFRAN INC.,Vendor,72779,DEFRAN,Vendor,3
delnorconstruction,70243,Delnor Construction,GC,73625,DELNOR CONSTRUCTION LTD.,Vendor,3
deloitte,6018,Deloitte Inc,Vendor,72634,Deloitte,Vendor,2
deloitte,6018,Deloitte Inc,Vendor,72656,DELOITTE LLP,Vendor,58
dewolfeandmorsesurveying,63130,DEWOLFE AND MORSE SURVEYING LTD.,Vendor,73366,dewolfe and morse surveying,Vendor,2
dexterconstruction,43653,DEXTER CONSTRUCTION COMPANY LIMITED,Vendor,73371,Dexter Construction,Vendor,2
dexterconstruction,43653,DEXTER CONSTRUCTION COMPANY LIMITED,Vendor,73377,Dexter Construction Company Ltd.,Vendor,2
dfs,50730,D.F.S. INC.,Vendor,72745,DFS ARCHITECTURE,Vendor,3
dfs,50730,D.F.S. INC.,Vendor,72749,DFS ARCHITECTURE INC,Vendor,2
dialogalberta,71514,DIALOG (Alberta),Architect,73307,DIALOG ALBERTA INC.,Vendor,4
diamondandschmitt,6179,Diamond and Schmitt Architects Inc.,Architect,73292,DIAMOND AND SCHMITT ARCHITECTS,Vendor,7
dillonconsulting,6231,Dillon Consulting Limited,Vendor,73471,Dillon Consulting Ltd,Vendor,2
diversipro,56001,DIVERSIPRO INC,Vendor,72543,DiversiPro,Vendor,2
dmmorashsteeplejacks,44443,D&M MORASH STEEPLEJACKS COMPANY LTD,Vendor,73622,D & M MORASH STEEPLEJACKS,Vendor,2
donnacona,39262,Donna Cona Inc,Vendor,72552,Donna Cona,Vendor,9
donwehagetrucking,48582,Don Wehage Trucking,Vendor,73387,Don Wehage Trucking Ltd,Vendor,3
drakeinternational,63412,Drake International,Vendor,73302,DRAKE INTERNATIONAL INC,Vendor,2
dssmarine,59367,DSS MARINE INC.,Vendor,73637,Dss Marine Incorporated,Vendor,3
dumacenergy,51087,DUMAC ENERGY LIMITED,Vendor,72842,Dumac Energy Ltd.,Vendor,3
dynamicpainting,42748,DYNAMIC PAINTING,Vendor,73670,DYNAMIC PAINTING LTD,Vendor,2
eastdive,48797,EAST DIVE LIMITED,Vendor,73683,EAST DIVE LTD,Vendor,2
easterncontracting,43876,EASTERN CONTRACTING LTD.,GC,73672,EASTERN CONTRACTING LIMITED,Vendor,3
eastlakewelding,41196,EAST LAKE WELDING,Vendor,73627,EAST LAKE WELDING LTD,Vendor,5
eastpointengineering,46699,EastPoint Engineering Limited,Vendor,73359,EastPoint Engineering Ltd,Vendor,46
eastpointengineering,46699,EastPoint Engineering Limited,Vendor,73410,Eastpoint Engineering,Vendor,6
eclipsyssolutions,6629,Eclipsys Solutions Inc,Vendor,72744,ECLIPSYS SOLUTIONS,Vendor,3
ecokareinternational,58296,ECO-KARE INTERNATIONAL,Vendor,73003,Eco-Kare International Ltd.,Vendor,3
ecoledelangueseagle,39136,ECOLE DE LANGUES EAGLE INC.,Vendor,72659,ECOLE DE LANGUES EAGLE,Vendor,3
eileenroofing,41763,EILEEN ROOFING INC,Vendor,73444,Eileen Roofing,Vendor,2
emco,6892,EMCO Corporation,Vendor,73583,EMCO LIMITED,Vendor,5
emondharnden,72633,Emond Harnden LLP,Vendor,68481,Emond Harnden,Vendor,4
englobe,6972,Englobe Corp,Competitor,73012,Englobe Corporation,Vendor,14
englobe,6972,Englobe Corp,Competitor,73400,Englobe,Vendor,5
englobe,6972,Englobe Corp,Competitor,73404,Englobe Corp Limited,Vendor,2
ennissafetyservices,39949,ENNIS SAFETY SERVICES LTD,Vendor,72728,ENNIS SAFETY SERVICES,Vendor,2
entuitive,7017,Entuitive Corporation,Competitor,73790,Entuitive,Competitor,2
environicsresearch,7030,Environics Research Group,Vendor,72617,Environics Research Group Ltd.,Vendor,3
environmentallcontractingservices,41145,ENVIRONMENTALL CONTRACTING SERVICES INC,GC,73368,ENVIRONMENTALL CONTRACTING SERVICES,Vendor,2
epsilonconsultingmanagement,39354,Epsilon Consulting & Management Group Inc.,Vendor,72824,EPSILON CONSULTING & MANAGEMENT,Vendor,3
equifaxcanada,56595,EQUIFAX CANADA CO.,Vendor,72906,EQUIFAX CANADA,Vendor,3
equifaxcanada,56595,EQUIFAX CANADA CO.,Vendor,72912,EQUIFAX CANADA INC,Vendor,4
equilibriumconsulting,38925,Equilibrium Consulting Inc.,Competitor,73786,EQUILIBRIUM Consulting,Competitor,2
ernstyoung,7107,ERNST & YOUNG LLP,Vendor,72676,ERNST & YOUNG,Vendor,5
esricanada,7138,ESRI Canada Limited,Vendor,72690,ESRI CANADA,Vendor,9
estunisandassociates,55564,E.S. TUNIS AND ASSOCIATES INCORPORATED,Vendor,73348,E.S TUNIS AND ASSOCIATES INC.,Vendor,2
eurofinsenvironmenttestingcanada,72819,Eurofins Environment Testing Canada,Vendor,42419,EUROFINS ENVIRONMENT TESTING CANADA INC.,Vendor,4
excavationsdarche,49831,Excavations Darche,Vendor,73630,Excavations Darche Inc,Vendor,4
excelhumanresources,56687,EXCEL HUMAN RESOURCES,Vendor,72480,Excel Human Resources Inc.,Vendor,10
exp,69535,EXP,Subcontractor,72691,EXP ARCHITECTS INC.,Vendor,44
exploitsweldingandmachineshop,43235,EXPLOITS WELDING AND MACHINE SHOP LTD,Vendor,73641,EXPLOITS WELDING AND MACHINE SHOP,Vendor,4
expservicesinclesservicesexp,72792,EXP SERVICES INC./LES SERVICES EXP,Vendor,7256,EXP SERVICES INC. LES SERVICES EXP INC.,Vendor,5
falconengineering,69519,Falcon Engineering,Competitor,73542,FALCON ENGINEERING LTD,Vendor,2
fasteppstructuralengineers,72197,Fast + Epp Structural Engineers,Competitor,73282,FAST & EPP STRUCTURAL ENGINEERS INC,Vendor,2
fastforwardfrench,39993,FAST FORWARD FRENCH INC.,Vendor,72541,FAST FORWARD FRENCH,Vendor,3
fasttrackstaffing,39137,FAST TRACK STAFFING INC.,Vendor,72660,FAST TRACK STAFFING,Vendor,3
fconeillscrivenandassocs,51027,"F.C. O'NEILL, SCRIVEN AND ASSOC.'S",Vendor,72830,"F.C O'Neill, Scriven and Assoc.'s Limited",Vendor,3
felthamsconstruction,43835,FELTHAM'S CONSTRUCTION LTD,GC,73616,FELTHAM'S CONSTRUCTION LIMITED,Vendor,3
fidelityengineeringconstruction,49990,Fidelity Engineering & Construction,GC,73445,Fidelity Engineering & Construction Inc.,Vendor,2
filtrationplus,46877,Filtration Plus,Vendor,73615,FILTRATION PLUS LIMITED,Vendor,2
finlinkconstruction,73610,FINLINK CONSTRUCTION LTD,Vendor,7423,Finlink Construction Limited,Vendor,5
fisherscientific,7499,Fisher Scientific,Vendor,73339,FISHER SCIENTIFIC COMPANY,Vendor,3
flagshipconstruction,41155,FLAGSHIP CONSTRUCTION LTD,GC,73609,FLAGSHIP CONSTRUCTION LIMITED,Vendor,11
flightsafetycanada,67885,FLIGHTSAFETY CANADA LTD.,Vendor,72727,FLIGHTSAFETY CANADA,Vendor,4
flyerelectric,39536,FLYER ELECTRIC LP,Vendor,73546,FLYER ELECTRIC LTD.,Vendor,1
fortisalberta,47085,FortisAlberta Inc,Vendor,73448,FORTIS ALBERTA,Vendor,4
fortisbc,69716,Fortis BC Inc.,Buyer,73580,FORTISBC,Vendor,1
fourpointsolutions,7703,Four Point Solutions,Vendor,73186,FOUR POINT SOLUTIONS LTD.,Vendor,3
freconconstruction,41133,FRECON CONSTRUCTION LTD,GC,73668,FRECON CONSTRUCTION LIMITED,Vendor,3
freshartdesign,39244,FRESH ART & DESIGN INC.,Vendor,72714,FRESH ART DESIGN,Vendor,2
fundycontractors,42665,FUNDY CONTRACTORS LIMITED,Vendor,73618,"FUNDY CONTRACTORS, LTD.",Vendor,14
furlowfinancial,66080,FURLOW FINANCIAL CORP.,Vendor,73141,Furlow Financial Corporation,Vendor,2
gagneroy,40602,GAGNE & ROY,Vendor,73323,GAGNE & ROY INC.,Vendor,2
gallagherbenefitservicescanada,7902,Gallagher Benefit Services (Canada) Group Inc.,Vendor,73325,GALLAGHER BENEFIT SERVICES (CANADA),Vendor,2
gartner,7931,Gartner,Vendor,73317,GARTNER GROUP,Vendor,3
gartnercanada,7932,Gartner Canada Co,Vendor,72710,GARTNER CANADA INC.,Vendor,16
gartnercanada,7932,Gartner Canada Co,Vendor,73454,Gartner Canada,Vendor,3
gateworks,7961,GateWorks,Vendor,73079,"GateWorks, Inc",Vendor,4
gcstrategies,39445,GC STRATEGIES INC,Vendor,72531,GC STRATEGIES,Vendor,2
geldergingrasassociates,72607,"Gelder, Gingras & Associates Inc.",Vendor,72861,"GELDER,GINGRAS ASSOCIATES",Vendor,2
gemtec,44133,GEMTEC LTD,Vendor,73011,Gemtec Limited,Vendor,28
gemtecconsultingengandscientists,63459,Gemtec Consulting Eng and Scientists Ltd,Vendor,73461,Gemtec Consulting Eng and Scientists Limited,Vendor,3
gemtecconsultingengineersandscientists,47230,Gemtec Consulting Engineers and Scientists,Vendor,73417,GEMTEC CONSULTING ENGINEERS AND SCIENTISTS LIMITED,Vendor,2
gemtecconsultingengineersscientists,63310,Gemtec Consulting Engineers & Scientists,Vendor,73467,Gemtec Consulting Engineers & ScientistsLimited,Vendor,2
generaldynamicslandsystemscanada,63795,GENERAL DYNAMICS LAND SYSTEMS-CANADA CORPORATION,Vendor,73422,General Dynamics Land Systems Canada,Vendor,2
generalmotorsofcanada,39808,GENERAL MOTORS OF CANADA LTD.,Vendor,73482,GENERAL MOTORS OF CANADA LIMITED,Vendor,4
