FamilyKey,Action,LoserId,LoserName,LoserKind,LoserWeight,LoserEnrich,SurvivorId,SurvivorName,SurvivorKind,SurvivorWeight,Confidence,Evidence
"gurinder rakkar astec",RETIRE_JV,21569,"Gurinder Rakkar / Astec Development Ltd.",Developer,84,0,,,,,Review,"slash-joined JV row; linkWeight=84; project artifact, retire not merge"
"architecture49 patkau",RETIRE_JV,74115,"Architecture49 / Patkau Architects",Architect,70,3,,,,,Review,"slash-joined JV row; linkWeight=70; project artifact, retire not merge"
"holmes solutions holmes us",RETIRE_JV,73738,"Holmes Solutions / Holmes US",Competitor,39,3,,,,,Review,"slash-joined JV row; linkWeight=39; project artifact, retire not merge"
"patrick chue p y chue",RETIRE_JV,19319,"Patrick Chue / P Y Chue Construction",GC,36,0,,,,,Review,"slash-joined JV row; linkWeight=36; project artifact, retire not merge"
"acton ostry architects bbb",RETIRE_JV,54253,"Acton Ostry Architects/ BBB Architects",Architect,36,2,,,,,Review,"slash-joined JV row; linkWeight=36; project artifact, retire not merge"
"wam development group aimco",RETIRE_JV,53270,"WAM Development Group / AIMCo",Developer,32,3,,,,,Review,"slash-joined JV row; linkWeight=32; project artifact, retire not merge"
"le consortium d architectes jbca st",RETIRE_JV,66166,"Le Consortium d'Architectes JBCA/ST",Architect,28,0,,,,,Review,"slash-joined JV row; linkWeight=28; project artifact, retire not merge"
"clark kjos",RETIRE_JV,68876,"Clark/Kjos Architects",Architect,24,3,,,,,Review,"slash-joined JV row; linkWeight=24; project artifact, retire not merge"
"katz group wam",RETIRE_JV,53422,"Katz Group / WAM Development Group",Developer,22,2,,,,,Review,"slash-joined JV row; linkWeight=22; project artifact, retire not merge"
"perkins will schmidt hammer lassen",RETIRE_JV,69234,"Perkins&Will / Schmidt Hammer Lassen Architects",Architect,22,5,,,,,Review,"slash-joined JV row; linkWeight=22; project artifact, retire not merge"
"slokker homes slokker canada west",RETIRE_JV,74155,"Slokker Homes / Slokker Canada West",Developer,21,1,,,,,Review,"slash-joined JV row; linkWeight=21; project artifact, retire not merge"
"school district 71 bgc central vancouver island",RETIRE_JV,69991,"School District 71 (Comox Valley) / BGC Central Vancouver Island",Buyer,20,2,,,,,Review,"slash-joined JV row; linkWeight=20; project artifact, retire not merge"
"arthur erickson musson cattell mackey",RETIRE_JV,69787,"Arthur Erickson / Musson Cattell Mackey Partnership",Architect,20,3,,,,,Review,"slash-joined JV row; linkWeight=20; project artifact, retire not merge"
"davidson yuen simpson rositch hemphill",RETIRE_JV,54334,"Davidson Yuen Simpson/Rositch Hemphill & Associates",Architect,18,1,,,,,Review,"slash-joined JV row; linkWeight=18; project artifact, retire not merge"
"enmax energy corp capital power",RETIRE_JV,53263,"ENMAX Energy Corp. / Capital Power Corp.",Buyer,18,1,,,,,Review,"slash-joined JV row; linkWeight=18; project artifact, retire not merge"
"fraser health infrastructure",RETIRE_JV,69032,"Fraser Health / Infrastructure BC",Buyer,18,2,,,,,Review,"slash-joined JV row; linkWeight=18; project artifact, retire not merge"
"harvinder dhinsa nucasa",RETIRE_JV,20821,"Harvinder Dhinsa / Nucasa Developments",Developer,18,0,,,,,Review,"slash-joined JV row; linkWeight=18; project artifact, retire not merge"
"abid mohammad national design",RETIRE_JV,21581,"Abid Mohammad / National Design Builders",GC,18,0,,,,,Review,"slash-joined JV row; linkWeight=18; project artifact, retire not merge"
"arcadis professional services inc arcadis",RETIRE_JV,71510,"Arcadis Professional Services (Canada) Inc./Arcadis Architects (Canada) Inc.",Architect,17,1,,,,,Review,"slash-joined JV row; linkWeight=17; project artifact, retire not merge"
"chernoff thompson architects b h",RETIRE_JV,71463,"Chernoff Thompson Architects / B+H Architects",Architect,17,4,,,,,Review,"slash-joined JV row; linkWeight=17; project artifact, retire not merge"
"ibi group arcadis",RETIRE_JV,71480,"IBI Group / Arcadis",Architect,17,3,,,,,Review,"slash-joined JV row; linkWeight=17; project artifact, retire not merge"
"taylor hazell",RETIRE_JV,50826,"TAYLOR/HAZELL ARCHITECTS LTD.",Architect,16,1,,,,,Review,"slash-joined JV row; linkWeight=16; project artifact, retire not merge"
