Id,NewKind,NewName,OldName
21485,Developer,"HouseCraft Construction and Development Ltd.","HouseCraft Construction and Development Ltd."
18983,Architect,"HPNA Architecture + Planning Inc.","HPNA Architecture + Planning Inc."
57269,Developer,"Insights Learning and Development","INSIGHTS LEARNING AND DEVELOPMENT"
58849,Developer,"Insights Learning and Development (Canada) Ltd.","INSIGHTS LEARNING AND DEVELOPMENT (CANADA) LTD."
60821,Developer,"Insights Learning and Development","Insights Learning and Developments"
20151,Architect,"J & R Katz Design + Architecture Inc.","J & R Katz Design + Architecture Inc."
9836,Architect,"J. Robert Thibodeau Architecture + Design Inc.","J. ROBERT THIBODEAU ARCHITECTURE + DESIGN INC."
9852,GC,"J.T. Setters and Sons Construction","J.T. Setters and Sons Construction"
9858,GC,"Jacob Bros. Construction Ltd.","Jabob Bros. Construction ltd Total Part A + Part B (includes GST)"
45110,GC,"JM Contracting and Installations","JM Contracting and Installations"
49647,GC,"Joe Pace and Sons Contracting Inc.","Joe Pace and Sons Contracting Inc"
22529,Architect,"Johnston Davidson Architecture + Planning Inc.","Johnston Davidson Architecture + Planing Inc."
29922,Architect,"Johnston Davidson Architecture + Planning","Johnston Davidson Architecture + Planning"
24218,Architect,"Johnston Davidson Architecture and Planning Inc.","Johnston Davidson Architecture and Planning Inc"
27281,Architect,"JWT Architecture and Planning","JWT Architecture and Planning"
25733,Architect,"Kasian Architecture + Interiors","Kasian Architecture + Interiors"
35559,Architect,"Kasian Architecture Interior Design and Planning","kasian architecture int design and planning"
19223,Architect,"Khora Architecture + Interiors","Khora Architecture + Interiors"
47193,GC,"K-Line Maintenance and Construction Ltd.","K-LINE MAINTENANCE AND CONSTRUCTION LTD."
58416,Architect,"Kobayashi + Zedda Architects Ltd.","KOBAYASHI + ZEDDA ARCHITECTS LTD."
20024,Architect,"Koka Architecture + Design Inc.","Koka Architecture + Design Inc."
50029,GC,"Kuhl Concrete and Construction Ltd.","Kuhl Concrete and construction Ltd"
51053,Architect,"Lalande + Doyle Architects Inc.","LALANDE + DOYLE ARCHITECTS INC. /"
58798,Developer,"Language Research and Development Group Inc.","LANGUAGE RESEARCH AND DEVELOPMENT GROUP INC"
10771,GC,"Lea Painting and Construction Ltd.","Lea Painting and Construction ltd"
10822,Architect,"LEES + Associates Landscape Architects","LEES + Associates Landscape Architects"
37968,GC,"Liban Property Management and Construction","Liban Property Management and Construction"
20523,GC,"Lopes Renovation + Construction Inc.","Lopes Renovation + Construction Inc."
36023,GC,"Los Mehos Design and Construction Inc.","Los Mehos Design and Construction Inc."
11115,Developer,"Lukay Research and Development Ltd.","Lukay Research and Development Ltd"
45597,Architect,"M Moser Design and Architecture","M Moser Design and Architecture ( S"
25293,Developer,"MAC Development and Housing Society","MAC Development and Housing Society"
51128,GC,"MacDonald Paving and Construction","MACDONALD PAVING AND CONSTRUCTION"
52967,GC,"Marine and Land Builders Ltd.","MARINE AND LAND BUILDERS LTD."
11411,GC,"Marvel Contracting Inc.","Marvel Contracting Inc. (Metal Roofing and Cladding, IMPs)"
20561,Architect,"McFarlane Biggar Architects + Design","McFarlane Biggar Architects + Design"
27564,Architect,"McFarlane Biggar Architects + Designers Inc.","Mcfarlane Biggar Architects + Designers Inc"
55735,Architect,"McRobie Architects and Interior Designer","MCROBIE ARCHITECTS AND INTERIOR DESIGNER"
41785,GC,"Mid West Design and Construction Ltd.","MID WEST DESIGN AND CONSTRUCTION LTD"
11948,Architect,"Modern Office Design + Architecture","Modern Office Design + Architecture"
12196,GC,"N.L. Smith and Sons Construction Ltd.","N.L Smith and Sons Construction Ltd."
12201,GC,"N.S. Pawliuk and Son Contracting Ltd.","N.S. Pawliuk and Son Contracting LTD"
33512,Architect,"Nada Awadi Architecture + Design","Nada Awadi Architecture + Design"
47853,GC,"Nappaq Design and Construction Ltd.","Nappaq Design and Construction Ltd"
45631,GC,"Nelliwa Builders and Civil Engineer","Nelliwa Builders and Civil Engineer"
39121,Developer,"New Century Training and Development Inc.","NEW CENTURY TRAINING AND DEVELOPMENT INC."
62885,Developer,"Newfoundland and Labrador Association of Community Business Development Corporations Inc.","NEWFOUNDLAND AND LABRADOR ASSOCIATION OF COMMUNITY BUSINESS DEVELOPMENT CORPORATIONS INC."
