LoserId,SurvivorId,LoserName,SurvivorName
54283,53885,"Western Bioenergy Inc. (subsidiary of Dalkia Canada)","Western Bioenergy Inc."
32206,32204,"ABACA Landscaping & Construction Consulting Ltd","Abaca Landscaping & Construction Ltd."
17532,17531,"Uniglobe Construction & Management Inc.","UNIGLOBE CONSTRUCTION & MANAGEMENT (GENERAL CONTACTOR)"
54738,70564,"The Stober Group","Stober Group"
46260,45837,"W.A.P Fernando Construction Company(Pvt)Ltd","W.A.P Fernando Construction Company"
14387,71755,"Revive Construction Inc.","Revive Construction (Alberta)"
47291,41242,"The Hybrid Construction Group Ltd.","HYBRID CONSTRUCTION"
63159,49242,"DEW Engineering and Development ULC","DEW ENGINEERING AND"
18250,18249,"WESTCAN-ACS (trunked, SCADA, two-way, broadband, microwave, engineering & design)","WESTCAN-ACS (Communications: wireless engineering, SCADA, towers, two-way, broadband, microwave)"
9448,9447,"Information Engineering Group Inc. (of Montreal, PQ)","Information Engineering Group (IEG)"
51595,71967,"TRUE NORTH PROPERTIES GROUP LTD","True North Engineering Ltd."
10770,10769,"Le Roux Road Construction Ltd. (Jetpatcher Alberta)","Le Roux Road Construction Ltd."
53950,69810,"Orca West Developments Ltd.","Orca West Development"
71695,17725,"Van Rooyen Construction (Alberta) Ltd (Alberta)","Van Rooyen Construction (Alberta) Ltd"
72222,30386,"Darwin Construction","Darwin Construction (Canada) Ltd"
11303,11301,"Manshield Construction (General Contractor)","Manshield (ALTA) Construction"
10233,10232,"Keegan Holdings Ltd. (Bath Fitter)","Keegan Holdings Ltd."
13627,13626,"Prairie View Holdings Ltd (Budget Rent a Car of Calgary)","Prairie View Holdings Ltd"
71905,70562,"Unitech Construction Management Alberta Ltd","Unitech Construction Management Ltd."
72183,72180,"Not separately identified","Not separately identified (EllisDon design-build)"
72423,72180,"Not separately identified (likely within Zeidler's integrated team or Bird Construction's sub-consultant scope)","Not separately identified (EllisDon design-build)"
