Id,NewKind,Name
22695,Developer,"Tangerine Developments Ltd. & Punia Homes Ltd."
42372,GC,"TARANIS CONTRACTING GROUP LTD."
50826,Architect,"TAYLOR/HAZELL ARCHITECTS LTD."
16535,Architect,"TBD Architecture & Urban Planning"
16537,GC,"TBG Contracting, a Division of Lafarge Canada Inc."
22749,GC,"TC Contracting & Renovation"
66357,Architect,"THE ARCHITECTS COLLABORATIVE"
65201,GC,"THE ONTARIO ROAD BUILDERS' ASSOCIAT"
16911,Architect,"The Workun Garrick Partnership Architecture & Interior Design Inc."
64074,Architect,"Thomas Naval Architecture, Inc."
51423,GC,"TIMBRO CONTRACTING (A PARTNERSHIP)"
48845,GC,"TOBIQUE LANDSCAPING & CONSTRUCTION INC."
17074,Architect,"Toker & Associates Architecture Industrial Design Ltd."
39085,Developer,"TORONTO CENTRE FOR COMMUNITY LEARNING & DEVELOPMENT"
46643,GC,"Townsend & Sons Contracting Ltd"
49918,GC,"Tresco Contracting Services Inc."
17283,GC,"Tribuild Contracting (Calgary) Ltd"
17298,GC,"Tri-Line Contracting Services ltd."
47719,GC,"Tsuu T'ina Contracting General Partners Inc"
51889,GC,"TWISTEDONEOFFS CONTRACTING LIMITED"
24612,Developer,"Ultra West Estates & Development Ltd."
65554,Developer,"US CIVILIAN RESEARCH & DEVELOPMENT"
58679,GC,"VT RESEARCH CONTRACTING SERVICES, LLC"
47994,GC,"Wade General Contractingb"
19034,Architect,"Waissbluth Architecture Office Inc."
44929,GC,"WAJIH CONTRACTING CO. LTD"
47535,GC,"Wd Contracting Group"
47175,GC,"Wemp & Smith Construction Ltd."
18318,Developer,"Western Recreation & Development Inc"
18319,Developer,"Western Recreation & Development Inc (Pool, Waterslide, Spray Park Contractor)"
18324,GC,"Western Specialty Contracting ULC"
19781,Developer,"Westpoint Design & Development Ltd."
18401,GC,"Whissel Contracting Calgary Ltd."
18404,GC,"Whissell Contracting Calgary LTD"
49680,GC,"WHITE CONTRACTING & BARGING LIMITED"
18430,GC,"Whiteson Contracting Bid have not been reviewed for compliancy or calculation errors"
67356,Architect,"Wilkinson Eyre Architects Limited"
47275,GC,"Wilson Builders (1978) Limited"
18607,Architect,"Works of Architecture (WOA)"
24343,Architect,"Z Square Architects (BC) Ltd"
27056,Architect,"Zeidler Architecture - Vancouver"
