EnrichmentId,CanonicalOrgId,ProviderName,ExtractorType,Persons,Affiliations,Signals,Actions,Works,Risks,Narratives,Inserted,Updated,Status,ErrorMessage
72755,212,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72756,219,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72757,221,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72758,222,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72759,223,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72760,234,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72761,235,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72762,24,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72763,2953,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72764,29838,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72765,29895,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72766,38960,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72767,38969,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72768,38972,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72769,38974,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72770,38975,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72771,4,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72772,42,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72773,4771,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,1,5,Persisted,
72774,54190,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72775,54241,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72776,54264,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72777,54282,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72779,54345,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72780,54375,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72781,54553,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72782,54571,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72783,54674,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72784,54753,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72785,54800,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72786,55056,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72787,55064,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72788,55082,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72789,55084,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72790,55108,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72791,67,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72792,70108,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,4,8,Persisted,
72793,68630,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72794,68632,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72795,68634,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72796,68637,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72797,68639,FirmNarrativeHoning,PersonListExtractor,1,1,1,0,0,0,0,2,1,Persisted,
72798,68756,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,6,6,Persisted,
72799,68865,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72800,68871,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72801,68879,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72802,68884,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72803,68897,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72804,68902,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72805,68904,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72806,68913,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72807,68969,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72808,68972,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72809,69122,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72810,69123,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72811,69164,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72813,69322,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72815,69589,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72817,69646,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72818,69660,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72819,69663,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72820,69676,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72821,69688,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72822,69704,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72823,69781,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72824,69865,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72825,7,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72826,70,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72828,70543,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72829,70590,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72830,72114,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72831,76,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72832,78,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72833,7843,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72834,8129,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,1,Persisted,
72835,85,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72836,8538,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72837,87,FirmNarrativeHoning,PersonListExtractor,4,4,1,0,0,0,0,5,4,Persisted,
72838,8799,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72839,92,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,0,12,Persisted,
72840,94,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72841,96,FirmNarrativeHoning,PersonListExtractor,2,2,1,0,0,0,0,0,5,Persisted,
72842,54269,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72843,69694,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,5,5,Persisted,
72844,69703,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,0,10,Persisted,
72845,69758,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72846,69760,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72847,69862,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,4,2,Persisted,
72851,69614,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72852,70734,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72853,71487,FirmNarrativeHoning,PersonListExtractor,7,7,0,0,0,0,0,9,5,Persisted,
72854,72071,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,3,9,Persisted,
72856,73907,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72898,15779,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,0,10,Persisted,
72899,15853,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72900,16018,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72901,16052,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72902,16054,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72903,16467,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
