OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
4545,CE Developments Ltd,Developer,CFBF577DDA444BEFB2D0526F6C7077D7,66 Developments Ltd.,0.867
40872,Centron Construction Group,GC,15ce807eb6264f7994484e31bc52f703,Grantson Construction Group,0.852
21760,Chaston Construction Corporation,GC,f33fdcde10c147d7a8a9301060ba3dbf,Castone Construction,0.9
26465,Chernhoff Thompson Architects,Architect,71B4D18C2C5940EB9E906CEFB533928A,Chernoff Thompson Architects,0.966
54462,CHP Architects,Architect,CL00452,B+H Architects,0.857
4917,CKB Construction Ltd,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
54950,"Clark Construction Group, LLC",GC,C6882BDE220F4D34AEB1E9DB6D666E0F,Peak Construction Group,0.875
26643,Clavo Construction Ltd.,GC,CL00068,Capo Construction Inc.,0.889
49803,CLP Construction,GC,CL00068,Capo Construction Inc.,0.882
43755,CMF CONSTRUCTION LTD,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
22509,CMGT Construction Group Ltd.,GC,A9229D783F2647CCB4C5EBC6B0165A2D,Scott Construction Group,0.875
69273,CMTC Architects,Architect,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects,0.867
25420,CMTC Construction Inc.,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.882
5096,Colliers International,Developer,CL00088,Colliers International,1
49829,COLLYER CONSTRUCTION LTD,GC,DCC6AEAB0DCD48A1B7ABAD7A8FE6D9C1,Waller Construction Ltd.,0.85
32288,Conspro Development Inc,Developer,CL00075,Censorio Development Corp.,0.85
43166,COPCAN CONTRACTING LTD.,GC,CE79ACEBCDEF4EB3BEA97997AF017259,Gocan Contracting Ltd.,0.889
43959,CORCON CONSTRUCTION LTD,GC,8E77ECC2735F4124808CE5F35EFD170A,Norson Construction Ltd.,0.895
52986,COSS CONSTRUCTION,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
68840,County of Los Angeles,Buyer,1E9FA981D07E4504B136CBF5C848F86E,City of Los Angeles,0.857
42820,COX'S CONSTRUCTION,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
35777,cpc construction ltd,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.938
5501,CPI Construction Ltd,GC,CL00068,Capo Construction Inc.,0.882
49456,CRAINS' CONSTRUCTION LTD.,GC,94067256f0e947e787cc815503a411cc,Traine Construction Ltd.,0.895
49020,CREANDO CONSTRUCTION,GC,0a90590b8fc64aaca4d97170a82a4ae9,Chandos Construction,0.85
31457,Cresca Construction LTD,GC,831F38EEAF274EB88BF32BD134733056,Chriscan Construction,0.857
20061,Cressey Developments,Developer,7091c33ab06e4eb0815500db9ff7b4a4,Cressey Development Corporation,0.95
42429,CRT CONSTRUCTION INC,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
25885,CY Developments Ltd.,Developer,CFBF577DDA444BEFB2D0526F6C7077D7,66 Developments Ltd.,0.867
5753,D.S. Construction,GC,CL00221,KDS Construction Ltd.,0.875
70022,DA Architects,Architect,CL00512,WA Architects,0.923
43846,DAD ARCHITECTURE DESIGN INC,Architect,9D935154A8CD458FAE085B74C2636CF2,TKA+D Architecture + Design Inc.,0.917
49763,Dado Construction Ltd,GC,CL00068,Capo Construction Inc.,0.882
43853,DALCON CONSTRUCTION LTD.,GC,CL00104,Dawson Construction Inc.,0.895
37277,Dana Developments Ltd,Developer,6f521d70c8f3438eb36d2514b309ebe2,Dava Developments Ltd.,0.941
70590,D-Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.933
71765,DB Construction Services Ltd,GC,c58ae72a9c0f4bcda854fd6ce3b6d149,BLT Construction Services,0.88
5897,DBD Construction Ltd.,GC,CL00215,JBR Construction Ltd.,0.875
23266,DBS Construction Ltd.,GC,CL00215,JBR Construction Ltd.,0.875
33284,DC Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.933
67272,DCA ARCHITECTS INC.,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.857
19367,DCYT Architecture,Architect,B59A5B5C097D48428143A4C6B2B5725C,DYS Architecture,0.882
52824,DEAD ON CONSTRUCTION,GC,CL00104,Dawson Construction Inc.,0.85
35132,Delburn Developments inc.,Developer,CL00181,Holborn Developments Ltd.,0.85
5989,DelCor Construction Ltd,GC,CL00238,Ledcor Construction Inc.,0.895
26981,Dema Developments Ltd.,Developer,6f521d70c8f3438eb36d2514b309ebe2,Dava Developments Ltd.,0.882
44237,DENCO CONSTRUCTION,GC,CL00271,Menko Construction Ltd.,0.889
54374,DGBK Architects,Architect,CL00154,GBL Architects Inc.,0.867
70884,DGS Construction,GC,55ca4bf7e626429685e0a0910785aed3,Edge Construction,0.882
873,District of West Vancouver,Buyer,CL00562,District of North Vancouver,0.852
34305,DKJ Development,Developer,0f23005de8e94e268524b33451189e7b,BDK Development Corporation,0.867
20511,DLP Architecture Inc,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.875
22042,Dod Construction Ltd.,GC,CL00045,Bold Construction,0.882
6435,DSC Construction Inc,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
49919,Duotech Construction inc.,GC,B8DB0DB76D374A15A05AD52C4A472C4F,Reotech Construction Ltd.,0.9
32365,Duric Development Ltd.,Developer,867DAC8BF7A54B268E1903B5BA0B76B6,Dura Development,0.882
70798,Durwest Construction,GC,CL00355,Forewest Construction Ltd.,0.857
50302,EA DEVELOPMENTS LTD.,Developer,CFBF577DDA444BEFB2D0526F6C7077D7,66 Developments Ltd.,0.867
49058,EAL CONSTRUCTION LTD,GC,c9ebc675b940426faf9019ca5596c789,Hael Construction Inc.,0.882
47225,Eastway Construction Inc.,GC,9084A4679FF04F9783B56D522B86BF46,Parkway Construction,0.85
31354,Easydone Construction,GC,f33fdcde10c147d7a8a9301060ba3dbf,Castone Construction,0.857
22296,Eco construction inc.,GC,CL00137,Etro Construction Limited,0.882
48312,ECP Construction inc.,GC,F26623C612B04617A7B26F2B12BA6894,KCM Construction Inc.,0.875
26694,EDSO Construction Ltd.,GC,55ca4bf7e626429685e0a0910785aed3,Edge Construction,0.882
35032,EEE Construction LTD.,GC,55ca4bf7e626429685e0a0910785aed3,Edge Construction,0.882
49507,EGL Construction inc.,GC,55ca4bf7e626429685e0a0910785aed3,Edge Construction,0.882
51664,EHR CONTRACTING LTD,GC,D25C374D9B6741C5A7C640CED8EE9DFF,KHY Contracting Inc.,0.867
69927,Elan Construction,GC,CA0F1EB949014FBC9C89135B12271A45,Juan Construction Ltd.,0.882
23459,Enduring Construction,GC,dba4c983101e4990b63d51dedff18e1c,Enduro Construction,0.857
7083,ERA Architects Inc,Architect,CL00471,EFG Architects,0.857
7085,Erb Construction Ltd,GC,CL00137,Etro Construction Limited,0.882
7098,ERK CONSTRUCTION INC,GC,CL00137,Etro Construction Limited,0.882
52774,ESP CONSTRUCTION LTD,GC,BAB9F58FC0B64EEB816BA5B33F83EAFA,TSG Construction Ltd,0.875
48248,ETKA Construction Inc.,GC,CL00137,Etro Construction Limited,0.882
7158,Etrec Construction,GC,CL00137,Etro Construction Limited,0.889
35713,euoi studio architecture + design,Architect,9e660f3c0ab1403fbe70127a672c3672,Leckie Studio Architecture + Design,0.879
44756,EXO CONSTRUCTION GROUP,GC,C6882BDE220F4D34AEB1E9DB6D666E0F,Peak Construction Group,0.87
54436,F. Adab Architect Inc.,Architect,11673464c18f4bf996624244ecc4121f,F. Adab Architects Inc.,0.941
70546,Faction Projects Inc.,Architect,D284E007D7C54FE69E5551250D206B60,Action Projects Inc.,0.938
69199,Farmer Construction Ltd.,GC,5f509bde526345f992665b1d80f80b75,Forme Construction,0.895
54656,Faulkner Browns Architects,Architect,8ba9e82560164c52b47ada7d5d56d3c5,FaulknerBrowns Architecture Inc,0.852
7350,"FBM Architecture, Interior Design, Planning",Architect,CL00486,Kasian Architecture Interior Design & Planning,0.864
68887,Flad Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.867
70626,Fold Architecture Inc.,Architect,312C54275B714411AA5F27AB04830856,FORT Architecture,0.882
31437,Fort Construction,GC,5f509bde526345f992665b1d80f80b75,Forme Construction,0.889
